ImageName,Image,Caption,ImageID,final link,coder 1 link,coder 2 link,CaptionURL,ImageURL,Link,Conference,PaperType,Title,Year,Batch,Coders,coder1-ErrorFigure,coder2-ErrorFigure,coder1-encodings,coder2-encodings,other-coder-encodings,encodings-consistency,coder1-dims,coder2-dims,other-coder-dims,dims-consistency,coder1-multiple-composite,coder2-multiple-composite,other-coder-multiple-composite,multiple-composite-consistency,coder1-multiple-nested,coder2-multiple-nested,other-coder-multiple-nested,multiple-nested-consistency,coder1-hardness,coder2-hardness,other-coder-hardness,hardness-consistency,notes,coder1-logs,coder2-logs,other-coder-logs
VisC.6.9.png,,,I2Y1990,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I2Y1990&username=VM&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I2Y1990&username=TI&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I2Y1990&username=RL&annoMode=2,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Captions/1990/VisC.6.9.png,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Images/1990/new/VisC.6.9.png,http://dx.doi.org/10.1109/VISUAL.1990.146359,Vis,C,Surface representations of two- and three-dimensional fluid flow topology,1990,6,TI; RL,0,0,Surface/Volume,Surface/Volume,,,3D,3D,,,No (just one vis),No (just one vis),,,No,No,,,Easy,Neutral,,,,4/27/2021; 08:52:58; 1; Btn; Login; 08:53:05 1; ERT; Surface/Volume; 08:53:07 1; DR; 3D; 08:53:08 1; MCV; No; 08:53:09 1; MNL; No; 08:53:09 1; Hardness; 0; 08:53:11 1; Btn; Next,4/29/2021; 10:31:44; 1; Btn; Login; 10:31:49 1; ERT; Surface/Volume; 10:31:52 1; DR; 3D; 10:31:53 1; MCV; No; 10:31:54 1; MNL; No; 10:31:55 1; Hardness; 1; 10:31:57 1; Btn; Next,JC; 9/9/2021; 12:58:23; 1; Btn; Login
VisC.36.1.png,,,I22Y1990,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I22Y1990&username=VM&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I22Y1990&username=RL&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I22Y1990&username=HS&annoMode=2,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Captions/1990/VisC.36.1.png,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Images/1990/new/VisC.36.1.png,http://dx.doi.org/10.1109/VISUAL.1990.146362,Vis,C,A procedural interface for volume rendering,1990,13,RL; HS,0,0,Surface/Volume,Surface/Volume,,,3D,3D,,,No (just one vis),No (just one vis),,,No,No,,,Easy,Easy,,,,6/28/2021; 11:46:08; 1; Btn; Login; 11:46:12 1; ERT; Surface/Volume; 11:46:13 1; DR; 3D; 11:46:14 1; MCV; No; 11:46:15 1; MNL; No; 11:46:16 1; Hardness; 0; 11:46:18 1; Btn; Next,7/31/2021; 20:10:28; 1; Btn; Login; 20:10:36 1; Btn; Previous; 20:10:43 1; Btn; Login; 20:10:56 1; ERT; Surface/Volume; 20:10:59 1; DR; 3D; 20:11:07 1; MCV; No; 20:11:08 1; MNL; No; 20:11:08 1; Hardness; 0; 20:11:10 1; Btn; Next,
VisC.36.2.png,,,I23Y1990,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I23Y1990&username=VM&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I23Y1990&username=PI&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I23Y1990&username=RL&annoMode=2,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Captions/1990/VisC.36.2.png,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Images/1990/new/VisC.36.2.png,http://dx.doi.org/10.1109/VISUAL.1990.146362,Vis,C,A procedural interface for volume rendering,1990,4,PI; RL,0,0,Surface/Volume,Surface/Volume,,,3D,3D,,,No (just one vis),No (just one vis),,,No,No,,,Easy,Easy,,,,5/5/2021; 16:17:58; 1; Btn; Login; 16:18:02 1; Btn; Previous; 16:18:16 1; Btn; Login; 16:18:20 1; ERT; Surface/Volume; 16:18:21 1; DR; 3D; 16:18:22 1; MCV; No; 16:18:23 1; MNL; No; 16:18:25 1; Hardness; 1; 16:18:26 1; Hardness; 0; 16:18:28 1; Btn; Next,4/22/2021; 10:30:07; 1; Btn; Login; 10:30:12 1; Help; Machine; 10:30:16 1; ERT; Surface/Volume; 10:30:18 1; DR; 3D; 10:30:22 1; MCV; No; 10:30:30 1; MNL; No; 10:30:32 1; Hardness; 0; 10:30:35 1; Btn; Next,
VisC.45.7.png,,,I30Y1990,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I30Y1990&username=VM&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I30Y1990&username=HS&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I30Y1990&username=JC&annoMode=2,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Captions/1990/VisC.45.5.png,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Images/1990/new/VisC.45.7.png,http://dx.doi.org/10.1109/VISUAL.1990.146363,Vis,C,Techniques for the interactive visualization of volumetric data,1990,16,HS; JC,0,0,Surface/Volume,Surface/Volume,,,3D,3D,,,No (just one vis),No (just one vis),,,No,No,,,Easy,Easy,,,,8/1/2021; 22:32:21; 1; Btn; Login; 22:33:10 1; ERT; Surface/Volume; 22:33:11 1; DR; 3D; 22:33:16 1; MCV; No; 22:33:16 1; MNL; No; 22:33:17 1; Hardness; 0; 22:33:19 1; Btn; Next,7/28/2021; 15:34:40; 1; Btn; Login; 15:34:44 1; ERT; Surface/Volume; 15:34:46 1; DR; 3D; 15:34:49 1; MCV; No; 15:34:49 1; MNL; No; 15:34:50 1; Hardness; 0; 15:48:11 1; Btn; Next,
VisC.45.9.png,,,I32Y1990,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I32Y1990&username=VM&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I32Y1990&username=TM&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I32Y1990&username=JC&annoMode=2,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Captions/1990/VisC.45.7.png,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Images/1990/new/VisC.45.9.png,http://dx.doi.org/10.1109/VISUAL.1990.146363,Vis,C,Techniques for the interactive visualization of volumetric data,1990,12,TM; JC,0,0,Surface/Volume,Surface/Volume,,,3D,3D,,,Yes-manually-arranged,Yes-manually-arranged,,,No,No,,,Easy,Easy,,,,6/6/2021; 01:05:05; 1; Btn; Login; 01:05:09 1; ERT; Surface/Volume; 01:05:12 1; DR; 3D; 01:05:14 1; MCV; Manual; 01:05:20 1; MNL; No; 01:05:22 1; Hardness; 0; 01:05:23 1; Btn; Next,8/5/2021; 20:24:36; 1; Btn; Login; 20:24:40 1; Btn; Previous; 20:27:06 1; Btn; Login; 20:27:13 1; DR; 3D; 20:27:19 1; ERT; Surface/Volume; 20:27:20 1; MCV; No; 20:27:23 1; MNL; No; 20:27:24 1; Hardness; 0; 20:27:51 1; MNL; Yes; 20:28:02 1; MNL; No; 20:28:03 1; Btn; Next; 20:28:07 1; Btn; Login; 20:28:08 1; MCV; Manual; 20:28:09 0; MCV; No; 20:28:10 1; Btn; Next; 20:56:02 1; Btn; Login,
VisC.45.8.png,,,I31Y1990,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I31Y1990&username=VM&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I31Y1990&username=TM&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I31Y1990&username=RL&annoMode=2,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Captions/1990/VisC.45.6.png,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Images/1990/new/VisC.45.8.png,http://dx.doi.org/10.1109/VISUAL.1990.146363,Vis,C,Techniques for the interactive visualization of volumetric data,1990,13,TM; RL,0,0,Point,Grid,,,3D,3D,,,Yes-manually-arranged,Yes-manually-arranged,,,No,No,,,Neutral,Hard,,,,6/10/2021; 08:41:00; 1; Btn; Login; 08:41:03 1; DR; 3D; 08:41:10 1; ERT; Point; 08:41:21 1; MCV; Manual; 08:41:27 1; MNL; No; 08:41:28 1; Hardness; 1; 08:41:29 1; Btn; Next,6/28/2021; 11:48:12; 1; Btn; Login; 11:48:31 1; ERT; Grid; 11:48:53 1; DR; 3D; 11:48:55 1; MCV; Manual; 11:48:58 1; MNL; No; 11:48:59 1; Hardness; 2; 11:49:06 1; Btn; Next; 12:07:18 1; Btn; Login,
VisC.45.5.png,,,I34Y1990,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I34Y1990&username=VM&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I34Y1990&username=PI&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I34Y1990&username=JC&annoMode=2,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Captions/1990/VisC.45.9.png,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Images/1990/new/VisC.45.5.png,http://dx.doi.org/10.1109/VISUAL.1990.146363,Vis,C,Techniques for the interactive visualization of volumetric data,1990,10,PI; JC,0,0,Surface/Volume,Surface/Volume,,,3D,3D,,,No (just one vis),No (just one vis),,,No,No,,,Easy,Neutral,,,,6/13/2021; 15:46:36; 1; Btn; Login; 15:46:46 1; ERT; Surface/Volume; 15:46:49 1; DR; 3D; 15:46:50 1; MCV; No; 15:47:08 1; MNL; No; 15:47:11 1; Hardness; 0; 15:47:13 1; Btn; Next,6/27/2021; 23:14:53; 1; Btn; Login; 08:50:41 1; ERT; Surface/Volume; 08:50:42 1; DR; 2D; 08:50:43 1; DR; 3D; 08:50:44 0; DR; 2D; 08:50:48 0; ERT; Surface/Volume; 08:50:50 1; ERT; Surface/Volume; 08:50:55 1; MCV; No; 08:50:57 1; MNL; No; 08:51:00 1; Hardness; 0; 08:51:01 1; Hardness; 1; 08:51:03 1; Btn; Next,
VisC.51.1.png,,,I35Y1990,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I35Y1990&username=VM&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I35Y1990&username=TI&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I35Y1990&username=HS&annoMode=2,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Captions/1990/VisC.51.1.png,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Images/1990/VisC.51.1.png,http://dx.doi.org/10.1109/VISUAL.1990.146364,Vis,C,Displaying voxel-based objects according to their qualitative shape synthesis,1990,5,TI; HS,0,0,Line,Line,,,2D,2D,,,No (just one vis),No (just one vis),,,No,No,,,Easy,Easy,,,,4/20/2021; 10:41:42; 1; Btn; Login; 10:41:45 1; ERT; Line; 10:41:46 1; DR; 2D; 10:41:48 1; MCV; No; 10:41:49 1; MNL; No; 10:41:49 1; Hardness; 0; 10:41:50 1; Help; Machine; 10:41:51 1; Btn; Next,5/2/2021; 16:06:33; 1; Btn; Login; 16:06:36 1; ERT; Line; 16:06:37 1; DR; 2D; 16:06:40 1; MCV; No; 16:06:40 1; MNL; No; 16:06:41 1; Hardness; 0; 16:06:44 1; Btn; Next,
VisC.51.6.png,,,I40Y1990,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I40Y1990&username=VM&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I40Y1990&username=PI&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I40Y1990&username=JC&annoMode=2,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Captions/1990/VisC.51.7.png,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Images/1990/new/VisC.51.6.png,http://dx.doi.org/10.1109/VISUAL.1990.146364,Vis,C,Displaying voxel-based objects according to their qualitative shape synthesis,1990,7,PI; JC,0,0,Surface/Volume,Surface/Volume,,,3D,3D,,,No (just one vis),No (just one vis),,,No,No,,,Easy,Easy,,,,5/29/2021; 15:38:46; 1; Btn; Login; 15:38:50 1; ERT; Surface/Volume; 15:38:52 1; DR; 3D; 15:38:54 1; MCV; Manual; 15:38:57 1; MNL; No; 15:38:59 1; Hardness; 0; 15:39:01 1; Btn; Next; 20:15:38 1; Btn; Login; 10:26:42 1; MCV; No; 10:26:45 0; MCV; Manual,5/7/2021; 10:36:32; 1; Btn; Login; 10:36:36 1; ERT; Surface/Volume; 10:36:37 1; DR; 3D; 10:36:39 1; MCV; No; 10:36:39 1; MNL; No; 10:36:39 1; Hardness; 0; 10:36:40 1; Btn; Next; 12:05:06 1; Btn; Login; 12:05:07 1; Btn; Previous; 20:15:30 1; Btn; Login,
VisC.51.4.png,,,I38Y1990,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I38Y1990&username=VM&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I38Y1990&username=PI&annoMode=2,http://ec2-3-142-46-19.us-east-2.compute.amazonaws.com:5000/visAnnotationV2/visAnnotateV2?currentImageID=I38Y1990&username=JC&annoMode=2,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Captions/1990/VisC.51.8.png,https://web.cse.ohio-state.edu/~chen.8028/VisPubImages/Images/1990/new/VisC.51.4.png,http://dx.doi.org/10.1109/VISUAL.1990.146364,Vis,C,Displaying voxel-based objects according to their qualitative shape synthesis,1990,9,PI; JC,0,0,Surface/Volume,Surface/Volume,,,3D,3D,,,No (just one vis),No (just one vis),,,No,No,,,Easy,Easy,,,,6/13/2021; 15:25:35; 1; Btn; Login; 15:25:45 1; ERT; Surface/Volume; 15:25:47 1; DR; 3D; 15:25:48 1; MCV; No; 15:25:49 1; MNL; No; 15:25:49 1; Hardness; 0; 15:25:51 1; Btn; Next,5/10/2021; 06:49:04; 1; Btn; Login; 06:49:08 1; ERT; Surface/Volume; 06:49:09 1; DR; 3D; 06:49:11 1; MCV; No; 06:49:11 1; MNL; No; 06:49:12 1; Hardness; 0; 06:49:13 1; Btn; Next,
